province,index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Nova Scotia,Energy Intensity (GJ/household),116.398691,121.577187,123.632495,114.061406,107.660316,102.020145,103.191065,117.185909,116.528349,117.778685,118.973025,126.498469,111.989882,109.341504,102.91881,105.153443,94.589638,97.496581,99.542143,96.721071,93.403992
Nova Scotia,Total GHG Emissions Excluding Electricity (Mt of CO2e),1.754631,1.871778,1.939201,1.773536,1.569954,1.427458,1.502533,1.802828,1.821772,1.85405,1.916314,2.087393,1.731219,1.556059,1.42021,1.455751,1.205529,1.237969,1.31887,1.304501,1.231841
Nova Scotia,GHG Intensity (tonne/TJ),41.934853,42.454767,42.784436,41.957301,38.992666,37.115829,38.356981,40.178491,40.306605,40.111647,41.325023,42.176133,39.295853,36.180168,34.759014,34.610171,31.703564,31.823459,32.836084,33.056977,32.190002
Nova Scotia,Heating Degree-Day Index ,0.936168,0.935428,0.97322,0.989298,1.016077,0.940301,0.82924,0.813354,0.987339,1.01849,0.890229,0.948495,0.832943,0.87076,0.981199,1.041304,0.960463,1.041304,0.958911,1.001672,0.869947
Nova Scotia,Cooling Degree-Day Index ,1.262877,1.840142,1.465364,1.731794,1.275311,2.293073,1.573712,0.829485,2.085258,2.136767,2.936057,1.746004,3.026643,2.68206,2.291297,2.714032,2.840142,2.714032,3.857904,2.582593,3.534636
Ontario,Total Energy Use (PJ),531.301673,516.353398,531.791073,564.24,550.919832,566.996129,525.514082,569.62472,572.324514,547.461175,540.833416,573.974755,532.098616,577.064951,578.606325,583.001161,540.529233,547.987922,611.239885,538.337209,511.747669
Ontario,Space Heating,344.741761,316.391267,332.694855,365.836448,352.282055,359.029792,324.917223,367.270563,376.66456,358.114494,337.049556,365.513647,322.333392,374.39162,386.505651,379.526214,342.540878,358.303112,401.799148,353.123479,314.631713
Ontario,Water Heating,93.548577,97.500247,97.089497,100.443764,100.109535,102.558862,101.490869,103.539099,101.281295,94.680198,95.548124,102.087878,97.875465,98.817547,93.106028,98.436769,92.204338,92.385084,106.76319,89.627963,90.640843
Ontario,Appliances,61.844149,63.890934,60.482749,61.946669,64.826506,60.616106,61.323493,60.695245,61.960848,64.432648,64.757269,64.090173,66.04803,66.719144,65.574317,66.903829,61.586904,62.230953,61.214456,62.164526,63.938434
Ontario,Lighting,20.451991,21.382765,20.348068,21.200074,21.947859,19.873763,19.639804,18.815994,19.18149,19.965009,20.447106,19.801048,20.203539,19.920597,19.216448,19.158054,17.298859,17.363281,16.581827,16.785963,17.356068
Ontario,Space Cooling,10.715195,17.188184,21.175903,14.813044,11.753877,24.917605,18.142692,19.30382,13.236321,10.268825,23.031361,22.482008,25.63819,17.216043,14.203881,18.976295,26.898253,17.705492,24.881263,16.635278,25.180611
Ontario,Total Floor Space (million m2),597.715,610.454,624.774,638.436,652.623,665.992,679.346,691.209,703.358,713.205,723.928,735.03,746.765,758.201,769.284,781.726,794.378,806.606,823.977,840.774,856.336
Ontario,Total Households (thousands),4290.9,4374.75,4450.24,4519.01,4590.99,4673.54,4736.82,4802.27,4878.3,4950.67,4962.134,5023.807,5097.0,5136.783,5196.0,5250.0,5322.0,5360.0,5445.5,5531.0,5596.218
Ontario,Energy Intensity (GJ/m2),0.888887,0.845851,0.851174,0.883785,0.844163,0.851355,0.773559,0.8241,0.813703,0.767607,0.747082,0.780886,0.712538,0.761098,0.752136,0.745787,0.680443,0.679375,0.741817,0.640288,0.597602
Ontario,Energy Intensity (GJ/household),123.820567,118.030378,119.497167,124.859206,120.000225,121.320483,110.942379,118.615721,117.320483,110.583249,108.992102,114.250956,104.394474,112.339748,111.356106,111.04784,101.565057,102.236553,112.246788,97.3309,91.445264
Ontario,Total GHG Emissions Excluding Electricity (Mt of CO2e),18.966631,17.922603,18.782034,20.205814,19.336361,20.137974,18.507621,20.438858,20.554946,19.147022,18.334079,19.93924,17.812344,19.911329,19.891806,20.043695,18.365606,18.91799,21.848254,18.426376,16.838989
Ontario,GHG Intensity (tonne/TJ),35.698421,34.709954,35.318445,35.810672,35.098321,35.516952,35.218125,35.881269,35.914845,34.97421,33.899678,34.73888,33.475644,34.504485,34.378826,34.380198,33.977082,34.52264,35.744156,34.228315,32.904867
Ontario,Heating Degree-Day Index ,0.936142,0.841644,0.893557,0.964072,0.930566,0.924018,0.826733,0.909955,0.935918,0.936684,0.849017,0.870448,0.789458,0.91546,0.995405,0.919828,0.882001,0.91991,0.921429,0.955985,0.840042
Ontario,Cooling Degree-Day Index ,1.002527,1.514334,1.928358,1.25202,0.904104,2.042585,1.451506,1.62762,1.063691,0.798296,1.717894,1.653662,1.8474,1.226289,1.028755,1.355501,2.091494,1.355046,1.977208,1.287805,1.888786
Prince Edward Island,Total Energy Use (PJ),5.822143,5.569047,5.237045,4.62,5.944417,5.777721,5.90744,7.706982,7.027369,7.482241,6.77426,7.721339,6.461122,5.639772,4.881885,4.198454,4.400507,4.759942,4.740328,5.002953,4.749
Prince Edward Island,Space Heating,3.76798,3.572282,3.642135,3.160742,4.209946,4.068994,4.074562,5.65195,5.04886,5.423004,4.69701,5.44237,4.38869,3.870751,3.493345,3.02375,3.153735,3.543507,3.475896,3.711128,3.426894
Prince Edward Island,Water Heating,1.312934,1.253027,1.228922,1.063067,1.341984,1.319517,1.437914,1.675359,1.596788,1.689112,1.698543,1.909345,1.681463,1.375412,1.029475,0.805329,0.881637,0.865184,0.879061,0.906338,0.895072
Prince Edward Island,Appliances,0.566504,0.566408,0.278741,0.301768,0.300944,0.300507,0.30638,0.295752,0.298802,0.290558,0.299085,0.294487,0.311459,0.316456,0.289711,0.299327,0.297923,0.286601,0.314076,0.319063,0.34947
Prince Edward Island,Lighting,0.172546,0.173125,0.08557,0.092333,0.089901,0.087127,0.086028,0.080253,0.079912,0.076578,0.075491,0.072415,0.074173,0.072699,0.064225,0.064327,0.062192,0.058868,0.062796,0.061333,0.067442
Prince Edward Island,Space Cooling,0.002178,0.004204,0.001676,0.002091,0.001642,0.001576,0.002556,0.003668,0.003008,0.00299,0.004131,0.002723,0.005337,0.004452,0.00513,0.005722,0.005021,0.005783,0.008499,0.005091,0.010122
Prince Edward Island,Total Floor Space (million m2),6.506,6.628,6.781,6.95,7.12,7.29,7.45,7.615,7.788,7.926,8.088,8.243,8.427,8.58,8.712,8.826,8.947,9.094,9.28,9.513,9.78
Prince Edward Island,Total Households (thousands),50.72,51.26,51.91,52.61,53.13,53.56,54.07,54.67,55.59,56.52,57.455,58.426,58.0,59.908,59.0,59.0,59.0,62.0,63.5,65.0,65.933
Prince Edward Island,Energy Intensity (GJ/m2),0.894939,0.840206,0.772256,0.664791,0.834864,0.792551,0.792956,1.012034,0.902329,0.943961,0.837575,0.936678,0.766727,0.657349,0.560334,0.475685,0.491867,0.52341,0.510791,0.525917,0.485582
Prince Edward Island,Energy Intensity (GJ/household),114.789885,108.64313,100.887013,87.816005,111.884379,107.873801,109.255414,140.972782,126.41427,132.38218,117.90549,132.155881,111.398659,94.140535,82.743822,71.160243,74.584862,76.773266,74.650834,76.968507,72.0281
Prince Edward Island,Total GHG Emissions Excluding Electricity (Mt of CO2e),0.297938,0.287951,0.304894,0.262367,0.33636,0.314721,0.314029,0.411663,0.377015,0.413599,0.377044,0.447582,0.365599,0.308934,0.264535,0.215525,0.221064,0.230595,0.220204,0.231933,0.213292
Prince Edward Island,GHG Intensity (tonne/TJ),51.17328,51.705561,58.218717,56.789446,56.584267,54.47147,53.158232,53.414261,53.64947,55.277426,55.658314,57.966902,56.584404,54.777747,54.187031,51.334258,50.236064,48.444893,46.453255,46.359271,44.913077
Prince Edward Island,Heating Degree-Day Index ,0.956906,0.947447,0.982553,0.983513,1.009704,0.948855,0.852301,0.997185,0.93898,0.972273,0.845092,0.902423,0.785074,0.830099,0.965917,1.012328,0.908288,1.012328,0.947767,0.961822,0.879196
Prince Edward Island,Cooling Degree-Day Index ,0.990971,1.816027,1.401806,1.557562,1.19526,1.267494,1.425508,1.393905,1.38149,1.457111,1.822799,1.10158,1.865688,1.512415,1.794582,1.831828,1.527088,1.831828,2.396163,1.384876,2.435666
Quebec,Total Energy Use (PJ),304.181749,287.235589,299.501333,315.11,335.910733,322.909173,313.871171,340.208912,334.863656,339.412825,313.505771,323.293589,317.316123,333.761768,349.954005,338.163139,330.640623,328.359829,340.360685,342.05996,331.683496
Quebec,Space Heating,190.962329,172.00893,182.781548,195.487056,215.145758,202.167293,190.871239,219.133241,214.102099,217.479001,193.293727,201.599403,194.46451,211.328579,224.986978,218.164724,211.066596,211.812036,218.324384,221.687337,202.143019
Quebec,Water Heating,50.468247,50.367221,50.874186,52.048792,53.625728,52.301646,52.85871,51.497328,50.322743,50.127289,47.671689,46.822748,46.378094,45.911543,46.316552,44.170455,43.750589,42.516108,43.717452,43.893734,46.347804
Quebec,Appliances,48.355162,48.705072,49.230111,50.45249,50.713422,49.969411,52.000934,51.979928,52.926415,54.218169,53.084924,54.904933,55.844607,57.382066,59.313918,57.081284,56.626024,55.980637,58.004819,58.398805,62.20982
Quebec,Lighting,13.196396,13.484857,13.629007,14.268704,14.215645,13.880143,14.270333,14.0346,14.292684,14.608881,14.503159,14.917309,14.814984,14.943893,15.205959,14.400272,14.062015,13.838836,14.208599,14.091934,15.103673
Quebec,Space Cooling,1.199616,2.66951,2.986481,2.852957,2.210181,4.590681,3.869955,3.563815,3.219715,2.979485,4.952272,5.049197,5.813929,4.195687,4.130598,4.346404,5.135399,4.212212,6.10543,3.988149,5.87918
Quebec,Total Floor Space (million m2),336.05,340.899,347.254,354.639,362.974,370.971,379.495,387.928,395.986,403.385,410.988,418.754,427.708,435.66,443.222,449.783,455.785,462.1,468.654,475.323,482.346
Quebec,Total Households (thousands),2991.17,3033.14,3075.94,3121.1,3169.7,3220.66,3267.66,3307.09,3351.04,3398.34,3332.76,3365.566,3405.0,3477.041,3513.0,3547.0,3580.0,3558.0,3594.5,3631.0,3656.12
Quebec,Energy Intensity (GJ/m2),0.905167,0.842584,0.862485,0.888537,0.925441,0.870444,0.827075,0.87699,0.845646,0.841412,0.762809,0.772038,0.741899,0.766106,0.789568,0.751836,0.725432,0.710582,0.726252,0.719637,0.687647
Quebec,Energy Intensity (GJ/household),101.693233,94.699087,97.369043,100.9612,105.97556,100.261801,96.053803,102.872589,99.928278,99.876065,94.067911,96.059203,93.191229,95.990166,99.616853,95.337789,92.357716,92.287754,94.689299,94.205442,90.72008
Quebec,Total GHG Emissions Excluding Electricity (Mt of CO2e),6.040822,5.389735,5.60736,5.610415,6.709625,5.926894,5.402107,5.983564,5.38552,5.195327,4.418599,4.138338,3.846912,3.832328,3.873669,3.811352,3.914936,3.564218,3.591078,3.595789,3.079644
Quebec,GHG Intensity (tonne/TJ),19.859251,18.764161,18.722322,17.804624,19.97443,18.354679,17.211224,17.587911,16.082726,15.306809,14.094155,12.800558,12.123279,11.482226,11.06908,11.270748,11.840457,10.854611,10.550803,10.512159,9.284886
Quebec,Heating Degree-Day Index ,0.974284,0.882264,0.937955,0.996163,0.996829,0.951023,0.856057,0.959899,0.952734,0.963994,0.847165,0.887177,0.846476,0.925237,0.968267,0.955142,0.916602,0.955104,0.968529,0.999033,0.871535
Quebec,Cooling Degree-Day Index ,0.778458,1.410028,1.461022,1.252045,0.876477,1.62842,1.172619,1.134604,0.975832,0.938186,1.526068,1.43113,1.685147,1.20805,1.175753,1.309687,1.579809,1.30988,1.857396,1.225375,1.707849
Saskatchewan,Total Energy Use (PJ),49.495,48.814,50.638,46.09,44.843175,42.785178,44.614195,43.756241,45.718215,47.621969,50.646459,48.917,47.755,51.518256,52.14599,48.959185,47.500237,51.054,55.206,56.674,52.605229
Saskatchewan,Space Heating,32.450563,30.99488,33.313138,29.460669,28.66999,26.681063,27.72414,27.271131,28.764037,30.440152,31.614613,29.863712,29.554059,32.178332,32.95701,29.388049,28.388937,31.1562,35.301785,37.005479,32.769116
Saskatchewan,Water Heating,9.596344,10.10707,9.545018,8.644034,8.373598,8.157766,8.775369,8.162609,8.471914,8.490292,10.045062,9.720149,9.206309,9.788663,9.626822,9.942249,9.854832,10.507406,10.622918,10.894579,10.609054
Saskatchewan,Appliances,5.460577,5.521642,5.520734,5.589028,5.706835,5.765567,5.764112,5.909889,6.082031,6.360209,6.62625,6.747832,6.512374,6.94643,7.055535,6.968494,6.874468,6.817816,6.722157,6.61546,6.780106
Saskatchewan,Lighting,1.776805,1.823954,1.839188,1.907853,1.928353,1.923088,1.882232,1.897774,1.948346,2.036267,2.035111,2.050424,1.935839,2.017924,2.012526,1.940025,1.877847,1.82816,1.771212,1.705332,1.763456
Saskatchewan,Space Cooling,0.21071,0.366454,0.419922,0.488416,0.164399,0.257693,0.468341,0.514839,0.451886,0.295048,0.325423,0.534883,0.546419,0.586907,0.494098,0.720369,0.504154,0.744418,0.787929,0.45315,0.683497
Saskatchewan,Total Floor Space (million m2),46.59,47.252,47.942,48.723,49.509,50.341,51.182,52.266,53.572,54.667,55.782,57.148,58.612,60.155,61.804,63.153,64.288,65.353,66.246,66.918,67.496
Saskatchewan,Total Households (thousands),373.26,372.73,373.09,374.67,376.68,377.82,378.19,384.78,393.67,401.34,407.294,413.12,418.0,418.321,423.0,427.0,431.0,429.0,431.5,434.0,437.525
Saskatchewan,Energy Intensity (GJ/m2),1.062348,1.03305,1.056236,0.945961,0.905762,0.849909,0.871683,0.837176,0.8534,0.871123,0.907934,0.855969,0.81477,0.856431,0.843734,0.775243,0.738871,0.781204,0.833354,0.846917,0.779379
Saskatchewan,Energy Intensity (GJ/household),132.60194,130.963432,135.725964,123.01492,119.048463,113.242227,117.967676,113.717555,116.133347,118.65742,124.34865,118.408695,114.246415,123.154832,123.276573,114.658514,110.209367,119.006993,127.939745,130.585253,120.233651
Saskatchewan,Total GHG Emissions Excluding Electricity (Mt of CO2e),1.939795,1.914861,2.001846,1.768099,1.735659,1.630486,1.726795,1.664921,1.746776,1.805741,1.955282,1.813617,1.772908,1.893128,1.899925,1.746498,1.70935,1.855329,2.046277,2.141968,1.923477
Saskatchewan,GHG Intensity (tonne/TJ),39.191744,39.227711,39.532485,38.361878,38.705092,38.108673,38.70505,38.049917,38.207446,37.918231,38.606486,37.075384,37.125085,36.746741,36.434734,35.67254,35.986127,36.340518,37.066209,37.794553,36.564373
Saskatchewan,Heating Degree-Day Index ,0.982985,0.891526,1.003735,0.982127,0.978118,0.933513,0.893181,0.952798,0.972,1.03624,0.926098,0.918255,0.951388,0.971762,1.007167,0.86812,0.848717,0.868123,0.977509,1.010105,0.921775
Saskatchewan,Cooling Degree-Day Index ,0.781087,1.318022,1.362559,1.360013,0.427165,0.64668,1.179445,1.194192,0.99529,0.565026,0.599913,0.953328,0.972889,0.951002,0.762427,1.102111,0.764458,1.102538,1.159664,0.664898,0.945777
Canada,Appliances,175.899249,180.20295199999998,178.301926,180.007403,185.18070000000003,180.750693,183.195127,185.12759,188.48593699999998,192.76874299999997,192.122353,193.57111099999997,198.146106,201.762887,202.65390899999997,200.111791,194.438159,196.134904,196.21471499999998,198.42089900000002,208.064264
Canada,Cooling Degree-Day Index ,0.8881289000000001,1.3781500999999998,1.4856906000000003,1.6397100999999998,1.2610449,1.3685916,1.4382207,1.3694069,1.3867138,1.3184662,1.5463427000000003,1.1419115999999998,1.6037073,1.3538768,1.5385366000000003,1.6036514,1.4587018999999999,1.6033452000000001,2.0488188000000003,1.2140681999999998,1.8550422999999998
Canada,Energy Intensity (GJ/household),119.2769196,114.03353010000001,116.73469370000001,111.87319110000001,113.8391066,109.2414428,106.3810952,117.73858949999999,116.1392266,114.7898415,110.4099267,116.53298790000001,108.9745993,108.94224899999999,109.17731690000001,104.8433972,99.2177677,103.29682299999999,105.7714639,102.9511085,98.67607410000001
Canada,Energy Intensity (GJ/m2),0.9395614,0.8918184,0.9063834,0.8616760000000001,0.8687525,0.8259850999999999,0.7948812000000001,0.8740408000000001,0.8562953,0.8465238000000002,0.8005029,0.8384874,0.7753338000000001,0.7722562,0.7619252,0.7256135999999999,0.6816827999999999,0.7039880000000001,0.7186261,0.6977256000000001,0.6653085000000001
Canada,GHG Intensity (tonne/TJ),33.821028,33.285371500000004,34.159589,33.202978,33.210932299999996,32.0784086,31.768694400000005,32.427812700000004,32.3513288,31.793213299999998,31.7201586,32.3564539,31.1542181,29.7702408,29.5848053,29.0770556,28.819058899999998,29.077829400000002,29.018268499999998,28.751596999999997,27.7545651
Canada,Heating Degree-Day Index ,0.9605024,0.9156582999999999,0.9695355000000001,0.964677,0.9742494,0.9241107,0.8650583,0.9458521999999998,0.9630146999999999,0.9794008999999999,0.8737679,0.921219,0.8352367,0.9109110999999999,0.9771854999999998,0.9416064000000001,0.8983985000000001,0.9416318,0.9507220999999999,0.9876783999999998,0.8834185
Canada,Lighting,54.908085,57.036849,56.579952000000006,58.133062,59.305215000000004,56.795668,56.480135000000004,55.748470999999995,56.61545400000001,57.68819800000001,57.501552000000004,56.930189000000006,57.052866,56.634499,55.800766,53.973470999999996,51.411423,51.369063999999995,50.24032,50.004892,52.661054
Canada,Space Cooling,13.103287000000002,21.694396,26.400267000000003,20.46364,15.938067,31.922644,25.146013999999997,25.913835000000002,19.343681000000004,16.249475,30.965813000000004,30.946956,34.564693,24.040713,22.103118000000002,27.925267,35.206466,26.733171000000002,36.109847,24.185983,35.864989
Canada,Space Heating,881.2382799999999,806.4705949999999,854.59493,884.9071940000001,890.7318560000001,870.8926799999999,826.2688150000001,938.6750259999999,950.164572,935.9237720000001,863.514249,933.7468559999999,863.926494,943.528026,973.256527,939.382092,871.634536,924.8038720000001,990.2047200000001,949.3927520000001,871.6007609999999
Canada,Total Energy Use (PJ),1381.030299,1324.0432560000002,1376.627515,1408.8800159999998,1418.159091,1409.455108,1359.26053,1480.985415,1483.741651,1463.5355710000001,1402.2432750000003,1485.613645,1418.2310850000003,1488.5136650000002,1506.817565,1478.082456,1397.2544579999999,1454.4541350000002,1539.5312779999997,1471.0135260000002,1425.96172
Canada,Total Floor Space (million m2),1495.9869999999999,1523.768,1555.971,1589.9470000000001,1626.635,1662.589,1700.5780000000002,1737.792,1774.1779999999999,1805.0919999999999,1836.924,1869.059,1904.373,1939.8390000000002,1974.163,2008.919,2041.106,2072.576,2110.121,2147.043,2183.035
Canada,Total GHG Emissions Excluding Electricity (Mt of CO2e),44.73994999999999,41.714537,43.744318,44.37148200000001,44.391113000000004,43.663551999999996,41.579765,46.165963,45.600289000000004,43.819364,41.180820999999995,44.168311,40.649941000000005,42.47646399999999,42.187856,41.576673,38.620251999999994,41.06724499999999,44.459762999999995,41.090835000000006,38.37379
Canada,Total Households (thousands),11621.74,11806.8,11982.47,12157.240000000002,12343.32,12554.83,12723.623999999998,12950.78,13129.997000000001,13382.16,13342.939,13514.009,13668.082,13837.376,13951.0,14097.0,14255.5,14327.0,14528.0,14729.0,14882.742
Canada,Water Heating,255.88139499999997,258.638464,260.75043700000003,265.36871599999995,267.003257,269.093416,268.17044000000004,275.520496,269.13200700000004,260.905383,258.139305,270.418535,264.540927,262.547539,253.003246,256.689834,244.56387199999995,255.413125,266.761675,249.008999,257.770649
